number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder,yearmonth,yearweek,datetimemonth,mood_sorted,score,location_grp,mood score
74,15.03.2009,The Number Nine,Berkeley,Kids,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Fun, Nerd, Educational",Fun,"Nerd, Educational",,,94,Bb,140,https://www.youtube.com/watch?v=p2Cvn2hULws,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,11. Silly,1,Berkeley,1
75,16.03.2009,"Don't Give Up, Chrissy",Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Sad,Clean,Rock,"Motivational, Wistful",Motivational,Wistful,,,90,C,80,https://www.youtube.com/watch?v=HfVFsU-aQ90,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,00. Angry,-1,Berkeley,-1
76,17.03.2009,"Hey, Paul Krugman",Berkeley,Politics,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Angry,Clean,Rock,"Heavy, Political, Economy",Heavy,"Political, Economy","Viral, Economist",,101,F,80,https://www.youtube.com/watch?v=XOYAuk809fY,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,01. Angry,-1,Berkeley,-1
77,18.03.2009,Copying isn't Theft,Berkeley,Nerd,"Electric Guitar, Samples, Drum Machine",Electric Guitar,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Political, Internet",Fun,"Political, Internet",,,69,G#,160,https://www.youtube.com/watch?v=zMP3QOlWV64,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,12. Happy,1,Berkeley,1
78,19.03.2009,Saving Newspapers,Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Political, Internet",Fun,"Political, Internet",,,161,Am,145,https://www.youtube.com/watch?v=52VdW8qFJ6Q,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,11. Silly,1,Berkeley,1
79,20.03.2009,Spring Equinox,Berkeley,Instrumental,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Ambient,"Dreamy, Weather, Spring",Dreamy,"Weather, Spring",,,70,G,90,https://www.youtube.com/watch?v=9TJ6kXDHtsU,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,11. Silly,1,Berkeley,1
80,21.03.2009,Out My Front Door,Berkeley,Life,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,"Wistful, Funny",Wistful,Funny,,,102,C,90,https://www.youtube.com/watch?v=Zov56wnlYUw,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-11,01.03.2009,11. Silly,1,Berkeley,1
81,22.03.2009,"Come On, Nouriel",Berkeley,Politics,"Piano, Drum Machine",Piano,Drum Machine,Happy,Clean,Rock,"Political, Economy",Political,Economy,Economist,Nouriel Roubini,86,C#,120,https://www.youtube.com/watch?v=vMapa6591M4,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,12. Happy,1,Berkeley,1
82,23.03.2009,A Long Time Coming (EFCA),Berkeley,Social Justice,"Acoustic Guitar, Electric Guitar, Bass, Drum Machine",Acoustic Guitar,"Electric Guitar, Bass, Drum Machine",Happy,Clean,Folk,"Motivational, Wistful, Political",Motivational,"Wistful, Political",SJW,,119,Bb,155,https://www.youtube.com/watch?v=F36rY4VMRPE,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,12. Happy,1,Berkeley,1
83,24.03.2009,My Obama Neurosis,Berkeley,Politics,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Confused,Clean,Electro,Funny,Funny,,"Political, Obama",,109,C,130,https://www.youtube.com/watch?v=BeTV3eIkzp0,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,03. Confused,,Berkeley,
84,25.03.2009,1600 PennsylvaniaAve.,Berkeley,TV,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,David Shuster,86,E,150,https://www.youtube.com/watch?v=Zm_XoG1BqSY,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,12. Happy,1,Berkeley,1
85,26.03.2009,Funa Day Anthem,Berkeley,Song A Day,"Electric Guitar, Shaker",Electric Guitar,Shaker,Happy,Clean,Folk,"Personal, Motivational, Redux",Personal,"Motivational, Redux",,,150,D,138,https://www.youtube.com/watch?v=TJ9Z4DgFJ0w,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,12. Happy,1,Berkeley,1
86,27.03.2009,"You're Doing It Right, Jon Stewart",Berkeley,TV,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,Jon Stewart,100,G,80,https://www.youtube.com/watch?v=QtL5hvWKcvk,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,12. Happy,1,Berkeley,1
87,28.03.2009,I am Just a Little Post-It Note,Berkeley,Nerd,"Piano, Electric Guitar, Drum Machine",Piano,"Electric Guitar, Drum Machine",Silly,Clean,Rock,Silly,Silly,,Nerd,,78,Bm,80,https://www.youtube.com/watch?v=dw2ZL2eFDfU,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-12,01.03.2009,11. Silly,1,Berkeley,1
88,29.03.2009,Soren's Song,Berkeley,Commission,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Happy,Clean,Folk,"Person, Wistful, Political",Person,"Wistful, Political",Kids,,129,F,80,https://www.youtube.com/watch?v=2yo3LbC4KbI,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-13,01.03.2009,12. Happy,1,Berkeley,1
89,30.03.2009,Jerry Springer,Berkeley,Contest,"Ukulele, Drum Machine",Ukulele,Drum Machine,Silly,Clean,Rock,Nerd,Nerd,,TV Show,Jerry Springer,103,F,100,https://www.youtube.com/watch?v=PG2WBfwooAk,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-13,01.03.2009,11. Silly,1,Berkeley,1
90,31.03.2009,The Close,Berkeley,TV,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,,57,D,100,https://www.youtube.com/watch?v=OI-m2H_8q_c,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-13,01.03.2009,12. Happy,1,Berkeley,1
91,01.04.2009,Ringtone for Mike Trash,Berkeley,Ringtone,"Bass, Drum Machine",Bass,Drum Machine,Silly,Clean,Punk,"Fun, Person, Silly",Fun,"Person, Silly",,,42,C,240,https://www.youtube.com/watch?v=xJMK1M9ICsg,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-13,01.04.2009,11. Silly,1,Berkeley,1
92,02.04.2009,Ivory is in the Caribbean (And I Miss Her),Berkeley,Life,"Electric Guitar, Samples",Electric Guitar,Samples,Pensive,Clean,Folk,"Personal, Relationships, Love",Personal,"Relationships, Love",,,93,F,60,https://www.youtube.com/watch?v=e8RAqe0Qkf4,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-13,01.04.2009,04. Pensive,,Berkeley,
93,03.04.2009,Tumblr,Berkeley,Internet,"Banjo, Shaker",Banjo,Shaker,Pensive,Clean,Folk,"Dark, Silly, Company, Nerd",Dark,"Silly, Company, Nerd",,Tumblr,101,B,48,https://www.youtube.com/watch?v=wiUuuL87OH4,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-13,01.04.2009,04. Pensive,,Berkeley,
94,04.04.2009,The Ten Plagues,Berkeley,Nerd,"Piano, Electric Guitar, Drum Machine",Piano,"Electric Guitar, Drum Machine",Intense,Clean,Rock,"Myth, Heavy, Funny, Nerd, History",Myth,"Heavy, Funny, Nerd, History",God,,130,D,100,https://www.youtube.com/watch?v=x7Jv5hcE5jM,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-13,01.04.2009,07. Intense,,Berkeley,
95,05.04.2009,Pieces,Berkeley,Poetic,"Banjo, Acoustic Guitar, Shaker",Banjo,"Acoustic Guitar, Shaker",Pensive,Shadow,Folk,"Personal, Wistful",Personal,Wistful,,,135,B,136,https://www.youtube.com/watch?v=MJmH-0J5Wpk,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,04. Pensive,,Berkeley,
96,06.04.2009,My Baritone Ukulele and I,"Jupiter, FL",Song A Day,Baritone Ukulele,Baritone Ukulele,,Happy,Shadow,Folk,"Personal, Wistful, Nerd",Personal,"Wistful, Nerd",,,56,C#,118,https://www.youtube.com/watch?v=KjtpzSMuusw,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,12. Happy,1,Family home,1
97,07.04.2009,"1 Week, 5 Days","Jupiter, FL",Life,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,"Personal, Wistful, Relationships",Personal,"Wistful, Relationships",,,121,C#,85,https://www.youtube.com/watch?v=l2GNCegRzFU,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,00. Angry,-1,Family home,-1
98,08.04.2009,Ringtone for Shelly,Berkeley,Ringtone,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Electro,"Silly, Personal",Silly,Personal,,,42,D,120,https://www.youtube.com/watch?v=CMYuGzBgX4o,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,11. Silly,1,Berkeley,1
99,09.04.2009,When I Was Born,Berkeley,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Shadow,Rock,"Personal, Silly",Personal,Silly,"Birthday, My Birthday",,77,E,65,https://www.youtube.com/watch?v=aexHE2DueBA,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,04. Pensive,,Berkeley,
100,10.04.2009,When the Lighthouse Went Dark,Berkeley,Poetic,"Electric Guitar, Samples, Drum Machine",Electric Guitar,"Samples, Drum Machine",Silly,Shadow,Metal,"Dark, Scary",Dark,Scary,,,89,Dm,70,https://www.youtube.com/watch?v=ySnfNdfESBE,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,11. Silly,1,Berkeley,1
101,11.04.2009,Zombie Banks,Berkeley,Politics,"Piano, Drum Machine",Piano,Drum Machine,Silly,Clean,Rock,"Political, Funny, Zombie",Political,"Funny, Zombie",,,74,C,115,https://www.youtube.com/watch?v=aCAPzJEpuCA,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-14,01.04.2009,11. Silly,1,Berkeley,1
102,12.04.2009,Ringtone for Casey,Berkeley,Ringtone,"Samples, Drum Machine",Samples,Drum Machine,Silly,Clean,Electro,"Ringtone, Personal",Ringtone,Personal,,,43,F,140,https://www.youtube.com/watch?v=mwBq8u7Fvx8,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,11. Silly,1,Berkeley,1
103,13.04.2009,Oreo Love,Berkeley,Food,Harpsichord,Harpsichord,,Silly,Clean,Folk,"Silly, Food",Silly,Food,,Oreo,94,Am,135,https://www.youtube.com/watch?v=BiI1lus4NGk,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,11. Silly,1,Berkeley,1
104,14.04.2009,Ringtone for Jackie,Berkeley,Ringtone,"Acoustic Guitar, Shaker",Acoustic Guitar,Shaker,Chill,Clean,Folk,"Wistful, Personal",Wistful,Personal,,,33,G,106,https://www.youtube.com/watch?v=5B450Qpzuec,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,09. Chill,,Berkeley,
105,15.04.2009,It's Like Trying to Fill a Styrofoam Cup With a Hole in the Bottom,Berkeley,Object,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Chill,Clean,Rock,"Funny, Weird",Funny,Weird,Styrofoam Cup,,141,A,140,https://www.youtube.com/watch?v=7CiTRHrA3vM,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,09. Chill,,Berkeley,
106,16.04.2009,Keyboard Shortcuts,Berkeley,Nerd,"Acoustic Guitar, Drum Machine",Acoustic Guitar,Drum Machine,Chill,Clean,Ambient,Silly,Silly,,,,24,G,90,https://www.youtube.com/watch?v=gVT9SToJsMI,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,09. Chill,,Berkeley,
107,17.04.2009,Ringtone for Michaela,Berkeley,Ringtone,"Piano, Drum Machine",Piano,Drum Machine,Pensive,Clean,Rock,"Person, Wistful",Person,Wistful,,,54,C,60,https://www.youtube.com/watch?v=EY9vn2mXIsc,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,04. Pensive,,Berkeley,
108,18.04.2009,Torture Memos: Waterboarding,Berkeley,Politics,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Angry,Shadow,Rock,"Dark, Political, Songify, SJW",Dark,"Political, Songify, SJW",,,128,D,76,https://www.youtube.com/watch?v=sJSXbA9j0Js,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-15,01.04.2009,01. Angry,-1,Berkeley,-1
109,19.04.2009,"I am israel, I am Palestine",Berkeley,Politics,"Acoustic Guitar, Electric Guitar, Bass, Shaker",Acoustic Guitar,"Electric Guitar, Bass, Shaker",Pensive,Clean,Folk,Political,Political,,Middle East,"Israel, Palestine",234,F#,67,https://www.youtube.com/watch?v=paFtzERJ8hM,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,04. Pensive,,Berkeley,
110,20.04.2009,Cannabis Criminalization: a Short History in Song,Berkeley,Politics,"Electric Guitar, Shaker",Electric Guitar,Shaker,Silly,Shadow,Country,"Funny, Political, History, Educational",Funny,"Political, History, Educational",,,222,Eb,114,https://www.youtube.com/watch?v=cNYbrO9OWP4,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,11. Silly,1,Berkeley,1
111,21.04.2009,Wren the Polyamorous Polar Bear and His Story of Redemtion,Berkeley,Animals,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Silly,Shadow,Rock,"Narrative, Funny, Nerd",Narrative,"Funny, Nerd","Bear, Polar Bear",,169,E,110,https://www.youtube.com/watch?v=ivfyckWwbww,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,11. Silly,1,Berkeley,1
112,22.04.2009,Fire Engine Red,Berkeley,Commission,"Acoustic Guitar, Organ, Piano, Samples, Drum Machine",Acoustic Guitar,"Organ, Piano, Samples, Drum Machine",Intense,Shadow,Rock,Heavy,Heavy,,Company,,143,F,116,https://www.youtube.com/watch?v=_ekL68m7fMw,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,07. Intense,,Berkeley,
113,23.04.2009,Spintown,Berkeley,Commission,"Acoustic Guitar, Organ, Piano, Samples, Drum Machine",Acoustic Guitar,"Organ, Piano, Samples, Drum Machine",Silly,Clean,Rock,"Heavy, Fun, Internet",Heavy,"Fun, Internet",,,100,G,140,https://www.youtube.com/watch?v=rFc3ew0BRnQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,11. Silly,1,Berkeley,1
114,24.04.2009,Lindsay McCove,Berkeley,Internet,"Electric Guitar, Samples",Electric Guitar,Samples,Silly,Clean,Folk,"Distortion, Web Series, Dating",Distortion,"Web Series, Dating",Person,,35,C,120,https://www.youtube.com/watch?v=dvBDbdhCi4E,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,11. Silly,1,Berkeley,1
115,25.04.2009,"Steve, the Hippo With Multiple Personalities",Berkeley,Animals,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Narrative, Funny, Nerd",Fun,"Narrative, Funny, Nerd",Hippo,,154,C,140,https://www.youtube.com/watch?v=QHwckqyrza4,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-16,01.04.2009,11. Silly,1,Berkeley,1
116,26.04.2009,Ringtone for Liam and Keane's Dad!,Berkeley,Ringtone,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,Fun,Fun,,Person,,33,E,120,https://www.youtube.com/watch?v=WpQ4KyQE0aI,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-17,01.04.2009,11. Silly,1,Berkeley,1
117,27.04.2009,Don't Let Your Ovaries Get You Down,Berkeley,Life,"Acoustic Guitar, Electric Guitar, Samples, Drum Machine",Acoustic Guitar,"Electric Guitar, Samples, Drum Machine",Intense,Clean,Rock,"Fun, Motivational, Nerd, Health",Fun,"Motivational, Nerd, Health",,Ivory King,63,Bb,106,https://www.youtube.com/watch?v=PgQY-8RETeE,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-17,01.04.2009,07. Intense,,Berkeley,
118,28.04.2009,Swine Flu: the Musical,Berkeley,Politics,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Rock,"Funny, Political, Health",Funny,"Political, Health",,,118,A,90,https://www.youtube.com/watch?v=sgBm8jvg-bs,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-17,01.04.2009,11. Silly,1,Berkeley,1
119,29.04.2009,Lost in the Tubes! a PSA in Song,Berkeley,Internet,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Electro,"Fun, Dancing, Motivational, Nerd",Fun,"Dancing, Motivational, Nerd",Internet,,104,C,150,https://www.youtube.com/watch?v=YNB5kZkvLP8,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-17,01.04.2009,11. Silly,1,Berkeley,1
120,30.04.2009,The Continuing Adventures of Bulldog and the Dude,Berkeley,Commission,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Country,"Fun, Silly",Fun,Silly,"Person, Radio",,101,Am,105,https://www.youtube.com/watch?v=Mj1XlFVUURk,"Background, Location, Topic, Mood, Instrument, Beard",2009-04,2009-17,01.04.2009,11. Silly,1,Berkeley,1
121,01.05.2009,To: Sarah and Mike From: Meredith and Adam re: Sorry About your bikes,Berkeley,Commission,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Sad,Shadow,Rock,"Person, Fun, Apology",Person,"Fun, Apology",,,71,C,120,https://www.youtube.com/watch?v=AHafu9FjIcE,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-17,01.05.2009,00. Angry,-1,Berkeley,-1
122,02.05.2009,Happy Birthday Shaista,Berkeley,Friend,Baritone Ukulele,Baritone Ukulele,,Happy,Shadow,Folk,"Person, Fun, Birthday",Person,"Fun, Birthday",,,143,B,116,https://www.youtube.com/watch?v=7hMjEwUcceg,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-17,01.05.2009,12. Happy,1,Berkeley,1
123,03.05.2009,We Are Pattern Machines,Berkeley,Poetic,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Intense,Shadow,Rock,"Dark, Wistful, Nerd, Science",Dark,"Wistful, Nerd, Science",,,138,C,85,https://www.youtube.com/watch?v=6oYXzpkRJME,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,07. Intense,,Berkeley,
124,04.05.2009,"Hey, Miss California",Berkeley,Politics,"Electric Guitar, Claps",Electric Guitar,Claps,Happy,Shadow,Folk,"Funny, Political",Funny,Political,,,154,E,140,https://www.youtube.com/watch?v=G-wKnV_ZTbo,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,12. Happy,1,Berkeley,1
125,05.05.2009,You Deserve a Bank Like This,Berkeley,Commission,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Happy,Shadow,Rock,"Political, Economy",Political,Economy,SJW,,72,F,113,https://www.youtube.com/watch?v=C2a1UfbV7G0,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,12. Happy,1,Berkeley,1
126,06.05.2009,BIrthday Song for Mimi Hughes,Berkeley,Commission,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Birthday",Fun,Birthday,Person,,106,F,160,https://www.youtube.com/watch?v=5XcB67lzAMM,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,12. Happy,1,Berkeley,1
127,07.05.2009,Don't Give in to Madness,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,Motivational,Motivational,,,,159,G,153,https://www.youtube.com/watch?v=eXYrUSMJlrw,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,04. Pensive,,Berkeley,
128,08.05.2009,The Pitch,Berkeley,Life,"Acoustic Guitar, Electric Guitar",Acoustic Guitar,Electric Guitar,Pensive,Clean,Folk,Narrative,Narrative,,,,132,F,125,https://www.youtube.com/watch?v=-AxfNHQd-sY,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,04. Pensive,,Berkeley,
129,09.05.2009,Roll My Kroalnos Home,Berkeley,Poetic,"Acoustic Guitar, Synths, Samples, Drum Machine",Acoustic Guitar,"Synths, Samples, Drum Machine",Intense,Shadow,Rock,Dark,Dark,,Backyard,,136,Am,90,https://www.youtube.com/watch?v=NpAd2uG6CHk,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-18,01.05.2009,07. Intense,,Berkeley,
130,10.05.2009,Flying to Vienna Pt 1,Berkeley,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Shadow,Rock,"Narrative, Travel",Narrative,Travel,,,59,Am,141,https://www.youtube.com/watch?v=07uO6bEpbWc,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-19,01.05.2009,07. Intense,,Berkeley,
131,11.05.2009,Flying to Vienna Pt 2,Vienna,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Shadow,Rock,"Narrative, Travel",Narrative,Travel,,,56,Am,141,https://www.youtube.com/watch?v=waMjI15_USw,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-19,01.05.2009,07. Intense,,Traveling,
132,12.05.2009,GameDeals Theme,Vienna,Commission,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Distortion, Narrative, Nerd",Distortion,"Narrative, Nerd","Person, Video Games, Web Series",,36,C,170,https://www.youtube.com/watch?v=g_7zrWaN3oc,"Background, Location, Topic, Mood, Instrument, Beard",2009-05,2009-19,01.05.2009,07. Intense,,Traveling,
